X,Y,OBJECTID,CODI_ENS,NOM_ENS,TIPUS,MODEL,LONGITUD,LATITUD,EXTRACCIO
418783.0485,4578132.8057,24423,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.029142,41.3506,2023/04/10 07:10:15+00
418698.237,4578120.2097,24424,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.02813,41.350478,2023/04/10 07:10:15+00
419135.3602,4577711.8334,24425,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.033409,41.346844,2023/04/10 07:10:15+00
418890.8102,4577751.0928,24426,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.030481,41.347173,2023/04/10 07:10:15+00
419016.1699,4577700.5052,24427,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.031986,41.34673,2023/04/10 07:10:15+00
418799.4942,4577576.3503,24428,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.029413,41.34559,2023/04/10 07:10:15+00
418929.9639,4577758.2053,24429,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.030948,41.347241,2023/04/10 07:10:15+00
419224.3222,4577660.989,24430,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.034479,41.346395,2023/04/10 07:10:15+00
418852.9641,4578145.125,24431,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.029976,41.350718,2023/04/10 07:10:15+00
419172.0974,4578147.891,24432,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.03379,41.350775,2023/04/10 07:10:15+00
419130.4843,4578250.1712,24433,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.033279,41.351692,2023/04/10 07:10:15+00
418922.1289,4578157.6755,24434,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.030801,41.350838,2023/04/10 07:10:15+00
418980.8623,4578337.4466,24435,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.031479,41.352463,2023/04/10 07:10:15+00
419098.2565,4578166.1462,24436,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.032905,41.350932,2023/04/10 07:10:15+00
