,base_solution,heuristic,search,iterations,temp_coef,population_size,mutation_probability,tabu_queue_coef,swap_any_to_generate,TotalDistance,TotalTime,UnusedTrucksCount,OrphansCount,execution_time,TotalFuel,TrucksCount
252,SIMPLE_GREEDY,REMOVE_LOOPS_MOVE_EXPORTATION,GENETIC,400.0,,10.0,0.3,,,1736.8158999999998,12.861791114836398,0,0,383.6817362308502,434.20397499999996,10
253,SIMPLE_GREEDY,,NO_SEARCH,,,,,,,1812.9713000000004,6.9261044474246765,0,0,54.08551001548767,453.2428250000001,15
254,SIMPLE_GREEDY,ANY_EXPORTATION_PROB1,ANNEALING,5000.0,0.0001,,,,,1812.9713000000004,6.9261044474246765,0,0,182.3381519317627,453.2428250000001,15
255,SIMPLE_GREEDY,MOVE_IN_EXPORTATION,GENETIC,200.0,,20.0,0.1,,,1777.7474999999997,6.660348891869121,0,0,401.6165781021118,444.43687499999993,15
256,SIMPLE_GREEDY,REMOVE_LOOPS_MOVE_EXPORTATION,GENETIC,400.0,,20.0,0.1,,,1798.4683,4.777284446679618,0,0,735.0037941932678,449.617075,20
257,SIMPLE_GREEDY,REMOVE_LOOPS_MOVE_EXPORTATION,ANNEALING,3000.0,1e-05,,,,,1778.4633999999999,6.642033336313565,0,0,260.3539559841156,444.61584999999997,15
258,SIMPLE_GREEDY,ANY_MOVE_EXPORTATION,TABU,200.0,,,,0.3,,1799.5859,4.741168891124062,0,0,82.09276270866394,449.896475,20
259,SIMPLE_GREEDY,ANY_EXPORTATION,ANNEALING,5000.0,1e-05,,,,,1747.7906999999998,12.843675559280845,0,0,343.01611590385437,436.94767499999995,10
260,SIMPLE_GREEDY,ANY_EXPORTATION,TABU,200.0,,,,0.5,,1753.1193,13.040262225947513,0,0,65.90675592422485,438.279825,10
261,SIMPLE_GREEDY,ANY_EXPORTATION_TIME1,ANNEALING,5000.0,0.0001,,,,,1842.0845999999997,4.953880002235173,0,0,175.90338277816772,460.5211499999999,20
262,SIMPLE_GREEDY,ANY_EXPORTATION_TIME1,ANNEALING,3000.0,1e-05,,,,,1842.0845999999997,4.953880002235173,0,0,86.9888048171997,460.5211499999999,20
