FID,NAAMPLAATSINGSADRES,CLUSTERCODE,CLUSTEROMSCHRIJVING,CONTAINERCODE,FRACTIE,LATITUDE,LONGITUDE,GEOM
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20a3,loc1131,1131,Johan de Wittstraat Midden,135,huisvuil - loc1131,53.2305,6.5598,POINT (233300.651 583296.532)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20a2,Loc1132,1132,Almastraat,136,huisvuil - Loc1132,53.2303,6.5607,POINT (233361.831 583271.927)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20a1,Loc1132,1132,Almastraat,137,huisvuil - Loc1132,53.2303,6.5607,POINT (233361.831 583271.927)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20a0,loc1133,1133,Heinsiusstraat,983,huisvuil - loc1133,53.2302,6.5579,POINT (233172.99 583261.063)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-209f,loc1133,1133,Heinsiusstraat,1133,huisvuil - loc1133,53.2302,6.5579,POINT (233172.99 583261.063)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-209e,loc1134,1134,Allersmastraat,139,huisvuil - loc1134,53.2289,6.5604,POINT (233341.631 583117.99)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-209d,loc1135,1135,Johan de Wittstraat Zuid,140,huisvuil - loc1135,53.2299,6.5593,POINT (233269.796 583222.565)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-209c,loc1136,1136,Agnetapark,1042,huisvuil - loc1136,53.2377,6.5602,POINT (233319.068 584092.701)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-209b,loc1137,1137,Zuilen,1043,huisvuil - loc1137,53.2375,6.5611,POINT (233373.472 584073.551)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-209a,loc1138,1138,Het Lansink,1048,huisvuil - loc1138,53.2373,6.562,POINT (233435.183 584056.748)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2099,loc1139,1139,Terdelt,1049,huisvuil - loc1139,53.237,6.5638,POINT (233557.4 584015.331)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2098,Loc1140,1140,Oostzaan,1073,huisvuil - Loc1140,53.2368,6.5648,POINT (233627.143 583997.548)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2097,Loc1141,1141,Borgwal,1267,huisvuil - Loc1141,53.2342,6.5634,POINT (233532.266 583714.382)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2096,loc1146,1146,Parkeerplek to Waterloolaan 46,160,huisvuil - loc1146,53.2074,6.5788,POINT (234615.888 580746.85)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2095,loc1147,1147,Verl Oosterweg Zuid,161,huisvuil - loc1147,53.2074,6.5777,POINT (234542.454 580742.297)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2094,loc1147,1147,Verl Oosterweg Zuid,162,huisvuil - loc1147,53.2074,6.5777,POINT (234542.454 580742.297)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2093,loc1148,1148,Anna Paulownstraat,163,huisvuil - loc1148,53.2069,6.5739,POINT (234285.546 580679.065)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2092,loc1149,1149,Hereweg Zuid,164,huisvuil - loc1149,53.2077,6.5731,POINT (234231.208 580772.783)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2091,loc1150,1150,Sterrebosstraat,165,huisvuil - loc1150,53.2077,6.5755,POINT (234394.851 580777.705)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2090,loc1150,1150,Sterrebosstraat,166,huisvuil - loc1150,53.2077,6.5755,POINT (234394.851 580777.705)
