FID,NAAMPLAATSINGSADRES,CLUSTERCODE,CLUSTEROMSCHRIJVING,CONTAINERCODE,FRACTIE,LATITUDE,LONGITUDE,GEOM
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2157,Loc3752,3752,Lammetjesplein,G708,glas - Loc3752,53.2322,6.6536,POINT (239565.32 583587.375)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2156,Loc3758,3758,Kolendrift,G704,glas - Loc3758,53.2238,6.5669,POINT (233785.657 582556.444)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2155,loc5500,5500,Bij de Sportvelden,G310,glas - loc5500,53.2492,6.6496,POINT (239258.447 585470.98)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2154,loc5501,5501,Kerkstraat,G312,glas - loc5501,53.2682,6.6514,POINT (239347.453 587587.512)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2153,Loc5502,5502,Koopmansplein,G314,glas - Loc5502,53.277,6.6966,POINT (242343.757 588620.643)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2152,Loc5502,5502,Koopmansplein,G316,glas - Loc5502,53.277,6.6966,POINT (242343.757 588620.643)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2151,loc5503,5503,Gaykingastraat,G318,glas - loc5503,53.2744,6.6984,POINT (242467.046 588335.691)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2150,loc5503,5503,Gaykingastraat,G414,glas - loc5503,53.2744,6.6984,POINT (242467.046 588335.691)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-214f,loc5504,5504,Hoofdweg,G320,glas - loc5504,53.2712,6.731,POINT (244645.437 588026.326)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-214e,loc5505,5505,H Veldmanstraat,G322,glas - loc5505,53.2978,6.7285,POINT (244429.532 590982.234)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-214d,LOC6000,6000,Anjerlaan,G326,glas - LOC6000,53.1714,6.6241,POINT (237709.059 576794.065)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-214c,LOC6000,6000,Anjerlaan,G328,glas - LOC6000,53.1714,6.6241,POINT (237709.059 576794.065)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-214b,LOC6001,6001,Kerkstraat,G330,glas - LOC6001,53.1732,6.6083,POINT (236650.557 576976.367)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-214a,LOC6001,6001,Kerkstraat,G332,glas - LOC6001,53.1732,6.6083,POINT (236650.557 576976.367)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2149,LOC6001,6001,Kerkstraat,G334,glas - LOC6001,53.1732,6.6083,POINT (236650.557 576976.367)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2148,loc6002,6002,Raadhuisplein (Haderaplein),G336,glas - loc6002,53.1742,6.6048,POINT (236412.714 577080.311)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2147,loc6002,6002,Raadhuisplein (Haderaplein),G338,glas - loc6002,53.1742,6.6048,POINT (236412.714 577080.311)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2146,LOC6003,6003,Nesciolaan,G342,glas - LOC6003,53.1702,6.5939,POINT (235694.04 576625.215)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2145,LOC6004,6004,Westerse Drift,G344,glas - LOC6004,53.1707,6.5989,POINT (236026.838 576682.001)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2144,LOC6004,6004,Westerse Drift,G362,glas - LOC6004,53.1707,6.5989,POINT (236026.838 576682.001)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2143,LOC6004,6004,Westerse Drift,G366,glas - LOC6004,53.1707,6.5989,POINT (236026.838 576682.001)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2142,LOC6004,6004,Westerse Drift,G346,glas - LOC6004,53.1707,6.5989,POINT (236026.838 576682.001)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2141,LOC6004,6004,Westerse Drift,G348,glas - LOC6004,53.1707,6.5989,POINT (236026.838 576682.001)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2140,LOC6005,6005,Kroonkampweg Jumbo 10 t/m 12,G474,glas - LOC6005,53.1719,6.603,POINT (236295.35 576822.32)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-213f,LOC6005,6005,Kroonkampweg Jumbo 10 t/m 12,G476,glas - LOC6005,53.1719,6.603,POINT (236295.35 576822.32)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-213e,LOC6006,6006,Spinozalaan,G350,glas - LOC6006,53.1637,6.6031,POINT (236319.444 575909.998)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-213d,LOC6007,6007,Dilgtweg,G352,glas - LOC6007,53.1826,6.5969,POINT (235868.212 578002.795)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-213c,LOC6008,6008,Meerweg,G418,glas - LOC6008,53.1596,6.5663,POINT (233865.845 575415.094)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-213b,LOC6009,6009,Oude Badweg,G354,glas - LOC6009,53.1707,6.5566,POINT (233198.443 576635.275)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-213a,LOC6010,6010,Oude Badweg,G356,glas - LOC6010,53.1738,6.5577,POINT (233264.329 576984.736)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2139,LOC6011,6011,Nieuwlandsweg,G358,glas - LOC6011,53.168,6.6141,POINT (237044.383 576393.12)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2138,LOC6015,6015,Rijksstraatweg,G370,glas - LOC6015,53.1432,6.626,POINT (237890.922 573647.153)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2137,LOC6015,6015,Rijksstraatweg,G372,glas - LOC6015,53.1432,6.626,POINT (237890.922 573647.153)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2136,LOC6016,6016,Rijksstraatweg,G376,glas - LOC6016,53.1321,6.6208,POINT (237564.802 572407.154)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2135,LOC6017,6017,Zuidlaarderweg,G378,glas - LOC6017,53.1323,6.6314,POINT (238272.341 572449.369)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2134,LOC6018,6018,Pollseweg,G380,glas - LOC6018,53.1217,6.6614,POINT (240297.577 571303.768)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2133,LOC6019,6019,Dorpstraat,G382,glas - LOC6019,53.159,6.6437,POINT (239040.363 575433.524)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2132,LOC6020,6020,Irenelaan Hoek beatrixlaan,G384,glas - LOC6020,53.1687,6.6045,POINT (236402.424 576462.375)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2131,LOC6021,6021,Rijksstraatweg,G386,glas - LOC6021,53.1855,6.5901,POINT (235408.172 578323.455)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2130,LOC6022,6022,Rijksstraatweg,G388,glas - LOC6022,53.1832,6.5909,POINT (235464.754 578058.372)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-212f,LOC6025,6025,Lutsborgsweg,G394,glas - LOC6025,53.1581,6.6086,POINT (236696.45 575295.274)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-212e,LOC6026,6026,Kerklaan,G432,glas - LOC6026,53.1782,6.604,POINT (236351.819 577517.84)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-212d,Loc3500,3500,Duinkerkenstraat,G2,glas - Loc3500,53.1978,6.6117,POINT (236829.429 579712.05)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-212c,Loc3501,3501,Zuiderweg,G6,glas - Loc3501,53.2149,6.5014,POINT (229429.358 581495.339)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-212b,loc3502,3502,C. Jetsesstraat,G453,glas - loc3502,53.2056,6.5027,POINT (229529.519 580463.957)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-212a,loc3504,3504,De Held,G12,glas - loc3504,53.2278,6.5144,POINT (230276.55 582946.618)
