FID,NAAMPLAATSINGSADRES,CLUSTERCODE,CLUSTEROMSCHRIJVING,CONTAINERCODE,FRACTIE,LATITUDE,LONGITUDE,GEOM
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a2d,loc3507,3507,Siersteenlaan,P140,papier - loc3507,53.2255,6.528,POINT (231184.753 582706.015)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a2c,loc3507,3507,Siersteenlaan,P368,papier - loc3507,53.2255,6.528,POINT (231184.753 582706.015)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a2b,loc3508,3508,Platinalaan,P134,papier - loc3508,53.2251,6.5294,POINT (231281.747 582655.237)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a2a,loc3508,3508,Platinalaan,P366,papier - loc3508,53.2251,6.5294,POINT (231281.747 582655.237)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a29,loc3508,3508,Platinalaan,P252,papier - loc3508,53.2251,6.5294,POINT (231281.747 582655.237)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a28,loc3509,3509,Hunsingolaan,P154,papier - loc3509,53.1988,6.5288,POINT (231288.01 579732.379)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a27,loc3509,3509,Hunsingolaan,P156,papier - loc3509,53.1988,6.5288,POINT (231288.01 579732.379)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a26,loc3510,3510,Goudlaan,P286,papier - loc3510,53.2289,6.5307,POINT (231363.744 583086.19)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a25,loc3510,3510,Goudlaan,P288,papier - loc3510,53.2289,6.5307,POINT (231363.744 583086.19)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a24,loc3512,3512,Metaallaan,P132,papier - loc3512,53.2224,6.5354,POINT (231686.578 582360.024)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a23,loc3514,3514,Meteoorstraat hoek Zonnelaan,P421,papier - loc3514,53.2343,6.5392,POINT (231921.015 583698.366)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a22,loc3516,3516,Rembrandt van Rijnstraat,P332,papier - loc3516,53.2183,6.5431,POINT (232206.781 581914.2)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a21,loc3516,3516,Rembrandt van Rijnstraat,P334,papier - loc3516,53.2183,6.5431,POINT (232206.781 581914.2)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a20,Loc3517,3517,Grote Beerstraat,P114,papier - Loc3517,53.2255,6.5449,POINT (232318.815 582716.313)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a1f,Loc3517,3517,Grote Beerstraat,P116,papier - Loc3517,53.2255,6.5449,POINT (232318.815 582716.313)
